,dataset,join,operator,time_baseline,time_amalur,complexity_baseline,complexity_amalur,TR,FR
0,book,inner,Left multiply,0.0014192740122477214,0.0003142833709716797,2024960.0,333488.0,0.5578323861362363,1.91424594961102
1,book,inner,Row summation,0.005067777633666992,0.002710096041361491,2024960.0,333488.0,0.5578323861362363,1.91424594961102
2,book,inner,Column summation,0.006896622975667318,0.0044883807500203455,2024960.0,333488.0,0.5578323861362363,1.91424594961102
3,book,inner,Materialization,,0.03784733613332113,,,,
4,book,inner,LMM,0.015186643600463868,0.03615175088246663,206725635200.0,63576347120.0,0.5578323861362363,1.91424594961102
5,book,inner,RMM,0.003761601448059082,0.012135823567708334,232052764170.0,93922086234.0,0.5578323861362363,1.91424594961102
6,book,inner,Left multiply T,0.0019211689631144205,0.000429073969523112,2024960.0,333488.0,0.5578323861362363,1.91424594961102
7,book,inner,Row summation T,0.007003299395243327,0.004841351509094238,2024960.0,333488.0,0.5578323861362363,1.91424594961102
8,book,inner,Column summation T,0.005439098676045736,0.004565930366516114,2024960.0,333488.0,0.5578323861362363,1.91424594961102
9,book,inner,LMM T,0.004176537195841472,0.02021345297495524,206725635200.0,206708720480.0,0.5578323861362363,1.91424594961102
10,book,inner,RMM T,0.031067323684692384,0.01502543290456136,1153255219200.0,281461340160.0,0.5578323861362363,1.91424594961102
11,book,inner,Linear Regression,0.9955856243769328,0.9980181852976481,41345127040.0,27028506760.0,0.5578323861362363,1.91424594961102
12,book,left,Left multiply,0.0014663378397623697,0.00035739739735921223,2024960.0,333488.0,0.5578323861362363,1.91424594961102
13,book,left,Row summation,0.00607146422068278,0.0027406851450602213,2024960.0,333488.0,0.5578323861362363,1.91424594961102
14,book,left,Column summation,0.0068771759668986,0.004464578628540039,2024960.0,333488.0,0.5578323861362363,1.91424594961102
15,book,left,Materialization,,0.040300575892130534,,,,
16,book,left,LMM,0.013539656003316244,0.017983206113179526,206725635200.0,63576347120.0,0.5578323861362363,1.91424594961102
17,book,left,RMM,0.0034236590067545573,0.022803481419881186,232052764170.0,93922086234.0,0.5578323861362363,1.91424594961102
18,book,left,Left multiply T,0.0013568719228108724,0.00040350755055745444,2024960.0,333488.0,0.5578323861362363,1.91424594961102
19,book,left,Row summation T,0.006879393259684245,0.004494921366373698,2024960.0,333488.0,0.5578323861362363,1.91424594961102
20,book,left,Column summation T,0.005109469095865886,0.004497265815734864,2024960.0,333488.0,0.5578323861362363,1.91424594961102
21,book,left,LMM T,0.003832832972208659,0.023166330655415852,206725635200.0,206708720480.0,0.5578323861362363,1.91424594961102
22,book,left,RMM T,0.029291899998982747,0.019277755419413248,1153255219200.0,281461340160.0,0.5578323861362363,1.91424594961102
23,book,left,Linear Regression,0.9928610324859619,1.3410945177078246,41345127040.0,27028506760.0,0.5578323861362363,1.91424594961102
24,book,outer,Left multiply,0.0010826508204142252,0.0003323078155517578,1618024.0,266793.0,0.5578318074941218,1.91424594961102
25,book,outer,Row summation,0.006523489952087402,0.0029697020848592124,1618024.0,266793.0,0.5578318074941218,1.91424594961102
26,book,outer,Column summation,0.005614749590555827,0.004307222366333008,1618024.0,266793.0,0.5578318074941218,1.91424594961102
27,book,outer,Materialization,,0.032649827003479,,,,
28,book,outer,LMM,0.011043135325113933,0.02825162410736084,206721565840.0,50861567700.0,0.5578318074941218,1.91424594961102
29,book,outer,RMM,0.0037728389104207355,0.01691884994506836,198821149602.0,88475572449.0,0.5578318074941218,1.91424594961102
30,book,outer,Left multiply T,0.0011925458908081054,0.00032089551289876304,1618024.0,266793.0,0.5578318074941218,1.91424594961102
31,book,outer,Row summation T,0.005874729156494141,0.004319246610005697,1618024.0,266793.0,0.5578318074941218,1.91424594961102
32,book,outer,Column summation T,0.005654819806416829,0.004323856035868327,1618024.0,266793.0,0.5578318074941218,1.91424594961102
33,book,outer,LMM T,0.0037288347880045573,0.01790959040323893,206721565840.0,206708053530.0,0.5578318074941218,1.91424594961102
34,book,outer,RMM T,0.023038458824157716,0.016291491190592446,1050251578880.0,225171248960.0,0.5578318074941218,1.91424594961102
35,book,outer,Linear Regression,0.8674970785776774,1.1304020563761392,41344313168.0,25756962123.0,0.5578318074941218,1.91424594961102
36,expedia,inner,Left multiply,0.03707992235819499,0.00971981684366862,28264260.0,6315618.0,19.24309640522876,1935.3703703703704
37,expedia,inner,Row summation,0.02598105271657308,0.027434349060058594,28264260.0,6315618.0,19.24309640522876,1935.3703703703704
38,expedia,inner,Column summation,0.08813735644022623,0.033063681920369466,28264260.0,6315618.0,19.24309640522876,1935.3703703703704
39,expedia,inner,Materialization,,0.3764447371164958,,,,
40,expedia,inner,LMM,0.14894766012827557,0.13158146540323892,492853323040.0,518231103820.0,19.24309640522876,1935.3703703703704
41,expedia,inner,RMM,0.03282191753387451,0.09209789435068766,1505046116560.0,357527215516.0,19.24309640522876,1935.3703703703704
42,expedia,inner,Left multiply T,0.03561808268229167,0.008811569213867188,28264260.0,6315618.0,19.24309640522876,1935.3703703703704
43,expedia,inner,Row summation T,0.08808756669362386,0.032925836245218915,28264260.0,6315618.0,19.24309640522876,1935.3703703703704
44,expedia,inner,Column summation T,0.02533535162607829,0.0329974889755249,28264260.0,6315618.0,19.24309640522876,1935.3703703703704
45,expedia,inner,LMM T,0.0343399445215861,0.15252933502197266,492853323040.0,492633836620.0,19.24309640522876,1935.3703703703704
46,expedia,inner,RMM T,0.33998462359110515,0.08437270323435465,35505261926560.0,15287797178596.0,19.24309640522876,1935.3703703703704
47,expedia,inner,Linear Regression,9.471840914090475,5.464578572909037,98570664608.0,101086494044.0,19.24309640522876,1935.3703703703704
48,expedia,left,Left multiply,0.05048641363779704,0.008288876215616862,28264260.0,6315618.0,19.24309640522876,1935.3703703703704
49,expedia,left,Row summation,0.02974848747253418,0.030599514643351238,28264260.0,6315618.0,19.24309640522876,1935.3703703703704
50,expedia,left,Column summation,0.0915692647298177,0.040030415852864584,28264260.0,6315618.0,19.24309640522876,1935.3703703703704
51,expedia,left,Materialization,,0.46467088858286537,,,,
52,expedia,left,LMM,0.15168410936991375,0.1790667454401652,492853323040.0,518231103820.0,19.24309640522876,1935.3703703703704
53,expedia,left,RMM,0.03584688504536947,0.11693629423777262,1505046116560.0,357527215516.0,19.24309640522876,1935.3703703703704
54,expedia,left,Left multiply T,0.039317019780476886,0.012919155756632487,28264260.0,6315618.0,19.24309640522876,1935.3703703703704
55,expedia,left,Row summation T,0.08935734430948893,0.040028929710388184,28264260.0,6315618.0,19.24309640522876,1935.3703703703704
56,expedia,left,Column summation T,0.026899186770121257,0.03986918131510417,28264260.0,6315618.0,19.24309640522876,1935.3703703703704
57,expedia,left,LMM T,0.03881790637969971,0.09979024728139242,492853323040.0,492633836620.0,19.24309640522876,1935.3703703703704
58,expedia,left,RMM T,0.3317447900772095,0.07668527762095133,35505261926560.0,15287797178596.0,19.24309640522876,1935.3703703703704
59,expedia,left,Linear Regression,9.49675379594167,5.501691579818726,98570664608.0,101086494044.0,19.24309640522876,1935.3703703703704
60,expedia,outer,Left multiply,0.03423778216044108,0.008362936973571777,25435935.0,6204558.0,22.67162383290018,1935.3703703703704
61,expedia,outer,Row summation,0.028088998794555665,0.030437580744425454,25435935.0,6204558.0,22.67162383290018,1935.3703703703704
62,expedia,outer,Column summation,0.07967636585235596,0.03936107953389486,25435935.0,6204558.0,22.67162383290018,1935.3703703703704
63,expedia,outer,Materialization,,0.4145568052927653,,,,
64,expedia,outer,LMM,0.13572323322296143,0.17639809449513752,492825039790.0,514359033940.0,22.67162383290018,1935.3703703703704
65,expedia,outer,RMM,0.030837655067443848,0.11323352654774983,1357175628910.0,351720776596.0,22.67162383290018,1935.3703703703704
